"region","year","input_group","total_adjusted_value"
"BR",2070,"gas",0.006696719126609
"BR",2070,"refined liquids",0.051443810409049
"CG",2020,"H2 enduse",0.04824805608
"CG",2020,"biomass",0.780908505154639
"CG",2020,"coal",0.415072567567568
"CG",2020,"electricity",0.145731013431013
"CG",2020,"gas",0
"CG",2020,"refined liquids",0.0992042556113809
"CG",2025,"H2 enduse",0.04638864605
"CG",2025,"biomass",0.701989662368639
"CG",2025,"coal",0.675299097277568
"CG",2025,"electricity",0.193030027358811
"CG",2025,"gas",0.004862488688
"CG",2025,"refined liquids",0.166404631563831
"CG",2030,"H2 enduse",0.07769958963
"CG",2030,"biomass",0.729774160265639
"CG",2030,"coal",0.845205536317568
"CG",2030,"electricity",0.22188048931361
"CG",2030,"gas",0.025380597928
"CG",2030,"refined liquids",0.205681111568551
"CG",2035,"H2 enduse",0.11832038123
"CG",2035,"biomass",0.652247718332239
"CG",2035,"coal",1.04215940021757
"CG",2035,"electricity",0.249739420221037
"CG",2035,"gas",0.049942005808
"CG",2035,"refined liquids",0.247328297601751
"CG",2040,"H2 enduse",0.1675726037
"CG",2040,"biomass",0.667676955728239
"CG",2040,"coal",1.24102451221757
"CG",2040,"electricity",0.299679318450148
"CG",2040,"gas",0.089310685138
"CG",2040,"refined liquids",0.267383796051824
"CG",2045,"H2 enduse",0.2249030207
"CG",2045,"biomass",0.680098940092239
"CG",2045,"coal",1.43557230331757
"CG",2045,"electricity",0.364375169679147
"CG",2045,"gas",0.120917902868
"CG",2045,"refined liquids",0.26786931844505
"CG",2050,"H2 enduse",0.290277362
"CG",2050,"biomass",0.0685764058126
"CG",2050,"coal",1.61938696631757
"CG",2050,"electricity",0.488177324252147
"CG",2050,"gas",0.11023198861
"CG",2050,"refined liquids",0.254231050557541
"CG",2055,"H2 enduse",0.6990126845
"CG",2055,"biomass",0.1772777651872
"CG",2055,"coal",1.3447654520283
"CG",2055,"electricity",0.697750211977147
"CG",2055,"gas",0.106364968068554
"CG",2055,"refined liquids",0.231135138900126
"CG",2060,"H2 enduse",1.6073188137
"CG",2060,"biomass",0.09375992856092
"CG",2060,"coal",0.486387690003475
"CG",2060,"electricity",1.05193521806015
"CG",2060,"gas",0.087792183655122
"CG",2060,"refined liquids",0.159179237284242
"CG",2065,"H2 enduse",2.1703410292
"CG",2065,"biomass",0.0022769415739
"CG",2065,"coal",0.14806952830061
"CG",2065,"electricity",1.38236584471015
"CG",2065,"gas",0.064787011206877
"CG",2065,"refined liquids",0.0225468714092825
"CG",2070,"H2 enduse",2.3585075804
"CG",2070,"biomass",6.57724e-05
"CG",2070,"coal",0.00433473
"CG",2070,"electricity",1.50383514682765
"CG",2070,"gas",0.005621958302266
"CG",2070,"refined liquids",0.0101116189828565
"CH",2020,"H2 enduse",0.0001543126414
"CH",2020,"biomass",0
"CH",2020,"coal",2e-05
"CH",2020,"electricity",0.001
"CH",2020,"gas",0.00123825503355705
"CH",2020,"refined liquids",0.0146306365626164
"CH",2025,"H2 enduse",0.0004714202342
"CH",2025,"biomass",2.7417931e-05
"CH",2025,"coal",0.0004557700698
"CH",2025,"electricity",0.00420751532528
"CH",2025,"gas",0.00230778409625705
"CH",2025,"refined liquids",0.0187126927656165
"CH",2030,"H2 enduse",0.000774743852
"CH",2030,"biomass",3.5203359e-05
"CH",2030,"coal",0.000728183187
"CH",2030,"electricity",0.00612271878971
"CH",2030,"gas",0.00426025817380705
"CH",2030,"refined liquids",0.0206257143212165
"CH",2035,"H2 enduse",0.0011679474459
"CH",2035,"biomass",4.4081512e-05
"CH",2035,"coal",0.001128479001
"CH",2035,"electricity",0.00879822008734
"CH",2035,"gas",0.00693912784303905
"CH",2035,"refined liquids",0.0210964182871165
"CH",2040,"H2 enduse",0.0016006101296
"CH",2040,"biomass",5.2016307e-05
"CH",2040,"coal",0.001499219716
"CH",2040,"electricity",0.01137955606254
"CH",2040,"gas",0.0106109420188771
"CH",2040,"refined liquids",0.0193083476565164
"CH",2045,"H2 enduse",0.00213734841
"CH",2045,"biomass",6.350535e-05
"CH",2045,"coal",0.001939057932
"CH",2045,"electricity",0.0143120235863
"CH",2045,"gas",0.013523868898277
"CH",2045,"refined liquids",0.0180221331786164
"CH",2050,"H2 enduse",0.002740519259
"CH",2050,"biomass",6.99037921e-05
"CH",2050,"coal",0.002387984299
"CH",2050,"electricity",0.02051040166065
"CH",2050,"gas",0.011899889773877
"CH",2050,"refined liquids",0.0164627461694164
"CH",2055,"H2 enduse",0.00426313056
"CH",2055,"biomass",4.9999328e-05
"CH",2055,"coal",0.002993371782
"CH",2055,"electricity",0.03074586773584
"CH",2055,"gas",0.00845848138369005
"CH",2055,"refined liquids",0.0151836469001335
"CH",2060,"H2 enduse",0.008881145664
"CH",2060,"biomass",4.742503419e-05
"CH",2060,"coal",0.00301892563553
"CH",2060,"electricity",0.04004276212104
